年,月-期底,排名,公司名稱,董事長,總經理,淨值-新臺幣百萬元,承銷及首次買入-新臺幣百萬元,交易額-新臺幣百萬元,資產總額-新臺幣百萬元,分公司家數-家
112,12,4,萬通票券金融公司,王和生,賴永梁,"8,873","1,240,634","1,863,869","76,274",1
112,12,5,大中票券金融公司,陳龍政,金聖輝,"8,710","649,957","825,992","74,484",3
112,12,6,大慶票券金融公司,莊隆昌,黃彥禎,"7,713","936,316","1,519,608","66,112",3
112,12,7,合作金庫票券金融公司#,郭昭良,周富玉,"7,225","461,806","865,028","67,482",1
112,12,8,台灣票券金融公司,林曉民,陳健民,"6,888","659,290","914,202","65,203",1
113,3,1,兆豐票券金融公司#,廖美祝,蔡燿光,"40,996","1,075,888","1,514,642","305,010",8
113,3,2,國際票券金融公司#,魏啓林,邱彥郎,"32,258","615,819","1,135,154","278,391",8
113,3,3,中華票券金融公司,張政權,魏政祥,"25,405","879,865","1,232,294","232,160",5
113,3,4,萬通票券金融公司,王和生,賴永梁,"8,793","380,429","610,192","80,247",1
113,3,5,大中票券金融公司,陳龍政,金聖輝,"8,792","208,571","265,767","77,331",3
113,3,6,大慶票券金融公司,莊隆昌,黃彥禎,"7,826","270,773","401,081","68,406",3
113,3,7,合作金庫票券金融公司#,郭昭良,周富玉,"7,255","128,598","231,806","65,776",1
113,3,8,台灣票券金融公司,林曉民,陳健民,"6,862","175,617","252,681","65,955",1
